map_0127#34	フロリニア: これはポケギアにインストールされ、先ほど遭遇した機械から出力されたデータを読み取る。
map_0127#35	諜報により、あの機械は「ポケモン究極リンクシステム・エクサジェレッタ」、略して「PULSE」と呼ばれることが判明した。
map_0127#36	この発言者は、先に交戦したモジャンボに関するデータをすでに入力済みだが、今後の対象については別途追加が必要である。
map_0127#37	フィールドノートアプリと同様、PULSE図鑑はデータが記録済みの機械の近くにいるとき、通知することができる。
map_0127#38	汚染されたポケモンについて疑問が生じた場合、バトル中にDキーを押せば関連データにアクセスできる。
map_0127#39	各機械についてのデータの出力紙が、その使用場所付近で見つかることがあるので、注意を怠らないように。
map_0127#40	アマリア: あたし、他のワードも探し続けるね!
map_0127#41	メテオ団がここまでこそこそ動き回ってるみたいだし、やることがいっぱいありそう!
map_0127#42	生徒: 待って、あれってアマリア?
map_0127#43	みずタイプのジムリーダーの?
map_0127#44	アマリア: え、あ、どうも!?
map_0127#45	生徒: ここの卒業生だって聞いてたけど、まさか会えるとは思わなかった!
map_0127#46	生徒: エイミー、バトルのデモやってよ!
map_0127#47	アマリア: みんな、今そういうタイミングじゃ……
map_0127#48	生徒: あなたのこと、いっぱい聞いてるよ!
map_0127#49	生徒: 一戦だけでいいから!
map_0127#50	アマリア: ちょっと……
map_0127#51	フロリニア: これに対応した後、ジャスパーへの通行の準備をしよう。そこを通ればベリルに到達できる。
map_0127#52	その道はペリドットの北にある。
map_0127#53	幸運を、と言いたいところだが、運とは統計を幻想的に本質化したものに過ぎず、本質的に良いも悪いもない。
map_0127#54	とはいえ、さらばだ。
map_0127#55	フロリニア: さらばだ。
map_0127#56	……だからこそ、一般的な勝ち筋に対するチェックと脅威を、徹底的に理解することが重要なんだ。
map_0127#57	多くの初心者トレーナーは、攻撃技とタイプ相性の網羅だけに焦点を当てた、超攻撃型のスタイルを好む傾向にある。
map_0127#58	だが、このパーティ構築のアプローチは、タイプそのものをバトルの主要な決定要因とする、素朴な一般化に偏りすぎている。
map_0127#59	僕たちが戦っているのはタイプじゃない。ポケモンそのものと戦っているんだ。
map_0127#60	勝ち筋と、特定の対策への対応に焦点を当てるからこそ、単タイプや2タイプ縛りのパーティでも勝ち抜けるんだ。
map_0127#61	先に進む前に、何か質問はあるかな?
