map_0901#847		It's lovely to meet you!
map_0901#848		CRIM: Hi, welcome back again! I hope you've been enjoying the rest of the dev room!
map_0901#849		And your adventure too, of course!
map_0901#850		Did you want to talk some more?
map_0901#851		...Or are you back for a battle?
map_0901#852		What can I do for you?
map_0901#853		CRIM: Oh, you want to stay and chat a bit?
map_0901#854		Just as a heads-up, I never know what to say to these unless specifically prompted.
map_0901#855		But I will talk your ear off if invited to!
map_0901#856		What's up? \ch[62,-1,Reborn,Game Involvement, Myself,Nevermind!]
map_0901#857		CRIM: Oh, you want to talk about Reborn?
map_0901#858		Okay! Buckle up.
map_0901#859		I ended up joining the team in early December of 2020, when I'd asked Ame,
map_0901#860		"Hey, so since we released Starlight, you want help with Reborn?"
map_0901#861		And she was like, "Sure! Come aboard."
map_0901#862		I was over the moon. I already had a lot of love for the game-- I've got a massive soft spot for intricate storytelling.
map_0901#863		The characters, the story, the maps, the music, the world, all of it was just a pure serotonin rush.
map_0901#864		Quick commercial break: You should check out Starlight Divide, too! No bias, promise.
map_0901#865		There's a lot of love poured into that game already, and it's only a demo so far!
map_0901#866		But to go back to your regularly scheduled emoposting,
map_0901#867		I was pretty starstruck about getting to work on a game I'd been playing for like, seven or eight years.
map_0901#868		Honestly, I still kind of am!
map_0901#869		And as a bonus, it came with a bunch of cool people!
map_0901#870		Some of my closest friends are sitting right here in this room with me, or are people I've met through this game, and I'll always be forever grateful for that.
map_0901#871		Both the community and its people, well...
map_0901#872		With the risk of sounding cheesy as heck, Reborn's probably-- definitely-- changed my life.
map_0901#873		I was in a bit of a rough place before I'd first joined Starlight, and, well, both it and Reborn really helped me with that.
map_0901#874		I really needed a change of scenery-- and Reborn gave me an outlet where that could happen.
map_0901#875		I think some people kind of see me as "Oh, you're that person who's working on something dev-related constantly?"
map_0901#876		Or, "Wait, how many fangames do you work on now?"
map_0901#877		Or, "Hey, you've been on Aseprite for 4 days straight, do you need some help?"
map_0901#878		And like, true!
map_0901#879		But it really just brings me the most massive amount of pure joy to work on.
map_0901#880		And here we are, at the end of it all,
map_0901#881		Call me emotional, but I've definitely cried a few times while writing this whole bit.
map_0901#882		I love this community, this game, and my friends dearly, and I'm grateful that they've stuck with me through it all.
map_0901#883		If I might be a little self-indulgent and quote my favorite Reborn character,
map_0901#884		"What a happy ending I've fallen into."
map_0901#885		CRIM: ...Whew, that was a lot. Sorry about that!  Thanks for sticking around and listening, though.
map_0901#886		I hope you enjoy the game as much as I do~
map_0901#887		Is there anything else you'd like to talk about?
map_0901#888		CRIM: Oh, you're curious about what I do for the game? Sure thing!
map_0901#889		So if you've been reading these in order, I mentioned before that I was originally pulled onto Reborn after Starlight's demo.
map_0901#890		I was originally just a wee smol spriter on Starlight-- I just did the character overworld sprites.
map_0901#891		When approaching Ame about Reborn, I was like, "Well, hey, I can offer support for spritework!"
map_0901#892		"Oh, by the way, I'm also really interested in learning how to map."
map_0901#893		And it kind of just... spiraled from there.
map_0901#894		Honestly, at this point I'm struggling to remember what happened in what order--
map_0901#895		One of my first projects was when Ame asked me and Sam (that Smeargle over there!) about character backsprites for Mix 'n Match.
map_0901#896		I got overexcited, and I think I ended up smashing out over twenty backsprites in like, less than a week.
map_0901#897		I had a lot of fun coming up with poses that I thought would be fitting for each character! I also redid quite a few old backsprites as well.
map_0901#898		By this point, minus those that already existed in E18,
map_0901#899		I think I've made most of the backsprites for the different characters?
map_0901#900		Spritework has been a pretty big part of my job here, mainly because it's what I'm comfiest with, but I dove into a lot of different categories!
