map_0412#42		Aya too...
map_0412#43		Ain't no way in hell I'm gonna let them get away with all this!
map_0412#44		HARDY: Yo, \PN!
map_0412#45		Huh, you ran into Charlotte and Saphira on the way here?
map_0412#46		I didn't see 'em at all... Maybe we just missed each other.
map_0412#47		So they were all right after all. Sweet.
map_0412#48		Good to know that's two less we gotta worry about!
map_0412#49		So, according to Rini, the source of the sleeping effect should be somewhere east of here.
map_0412#50		You beat Amy, right, mate?
map_0412#51		Then take this!
map_0412#52		HARDY: I've been hangin' onto that for you for a while.
map_0412#53		Wouldn't have done much good before, but now you can use that to scale steep walls like these!
map_0412#54		Well, you probably already knew that.
map_0412#55		No time to waste, then!
map_0412#56		I'll go on ahead.
map_0412#57		Let's take back Agate City!
map_0412#58		And eventually... Aya too.
map_0412#59		Oof, were you hoping to come through here?
map_0412#60		Sorry about that! 
map_0412#61		A bunch of rocks slid down from the upper part of the route just then, but don't you fret!
map_0412#62		I'll get 'em cleaned up in a jiffy, so just hang tight for a bit. 
map_0412#63		Did you think you could just sneak up here without a fight?
map_0412#64	Eddie	Wait- you weren't-
map_0412#65		I can't believe you beat my 1337 H4X0RS...
map_0412#66		Something glimmers in the cinders of the campfire, but it's impossible to pull out.
map_0412#67		Perhaps a spark would draw it out?
map_0413#0		ECLIPSE: Take care, Aster.
map_0413#1		Don't be a stranger.
map_0413#2		ECLIPSE: Well, I'm glad you showed up when you did.
map_0413#3		Couldn't have asked for better timing.
map_0413#4		You seem to be good at that.
map_0413#5		And it's nice to not have to fight it anymore.
map_0413#6		Thanks for dropping by.
map_0413#7		By the way, I meant to give you these.
map_0413#8		ECLIPSE: For whatever reason, they were in my pocket when I woke up.
map_0413#9		I don't have any use for them, so there you go.
map_0413#10		Thanks again for...
map_0413#11		ECLIPSE: I guess, everything.
map_0413#12		If you ever get a sudden hankering to watch Delibird chop onions, you know where to go, I guess.
map_0413#13		See you around.
map_0413#14		Hey, so...
map_0413#15		Is it safe for us to be out and about now?
map_0413#16		I was wondering, um...
map_0413#17		Like, I know Team Meteor are the bad guys and all...
map_0413#18		But, like... look at how cool some of their leading officers' outfits are!
map_0413#19		You think they'd tell me who their fashion supplier is if I went up to the barrier and asked nicely?
map_0413#20		Oh!
map_0413#21		You actually went and took the barrier down?
map_0413#22		Maybe I can finally go up and ask someone from Team Meteor about their fashion now!
map_0413#23		Come to think of it, though...
map_0413#24		Maybe I'll wait until the rays of death and explosions stop coming from Labradorra to ask.
map_0413#25		Sorry, what?
map_0413#26		Team Meteor's been driven out of Labradorra?
map_0413#27		B-but I needed to ask them some questions!
map_0413#28		A girl's gotta get some new fashion inspiration from somewhere!
map_0413#29		These magazines just aren't cutting it anymore!
map_0413#30		Haha, I mean...
map_0413#31		The city's safe! Right...
map_0413#32		Hey there! Trainer!
map_0413#33		Listen, I've moved on from fashion. I'm going to be a radio star! Or star on TV!
map_0413#34		You think you could get me into the Nightclub?
map_0413#35		You've got connections, right?
map_0413#36		I mean--
map_0413#37		Thank you for saving all of us!
map_0413#38		From totally-not-my-fashion-inspirations...
map_0413#39		Oi, Trainer!
map_0413#40		I've been cooped up this whole time-- can we finally get outta here?
map_0413#41		I've been itching to hike up Route 4 again, but we haven't even been able to leave our homes what with all those laser-whatchamacollits... 
map_0413#42		You think this time that I can get all the way to Agate?
map_0413#44		Maybe that's not such a good idea now.
map_0413#45		Hail, Trainer!
map_0413#46		Thanks to you, I've finally been able to get out and hike to the heart's content!
map_0413#47		I'll go all the way to Agate!
map_0413#48		No, all the way to Charous!
map_0413#49		Oh, finally.
map_0413#50		We've been inside for so long, I was starting to forget what sunlight felt like!
map_0413#51		What do you mean I'm being dramatic?!
map_0413#52		How could you accuse me of such a thing?
map_0413#53		I'm wounded!
map_0413#54		Hurt!
map_0413#55		My back hurts from sitting inside for so long! And I'm only 24!
map_0413#56		...Maybe I'll just take a nap.
map_0413#57		...Huh, you actually went and did it? We're safe?
map_0413#58		Now I can finally play Call of Shooting in peace!
map_0413#59		You know, without worrying about getting hit by a death ray.
map_0413#60		There's this one player I keep matching up against. 
map_0413#61		And losing to.
map_0413#62		I swear, if he tries to give me a visual aid of what teabagging is one more time...
map_0413#63		Talk about insult to injury.
map_0413#64		SHELLY: It's not the same here without Cain...
map_0413#65		Why... Why did it have to happen like that?
map_0413#66		Cain and I went to go look for Anna and Noel and eventually he found that old building.
map_0413#67		We stepped inside to have a look around, and we didn't see anything suspicious...
map_0413#68		...Until we tried to leave, and found the door had been blocked.
map_0413#69		When we were trying to figure out what to do, I suddenly felt incredibly sleepy, 
