map_0622#9		METEOR: About time. 
map_0622#10		It's a shame we have to make them leave right away.
map_0622#11		VICTORIA: Not a chance!
map_0622#12		VICTORIA: There's not a Pokémon in this world strong enough to toss us aside!
map_0622#13		ARC: Sorry, Team Meteor, but it's time to take this show off air.
map_0622#14	Bishop	Was that enough?
map_0622#15	Allyssa	They really should be paying us more for this.
map_0622#16		ARC: Easy.
map_0622#17		ARC: You're all dismissed. This conflict is over now.
map_0622#18		VICTORIA: Incineroar!
map_0622#19		ARC: No time to lose! Let's hustle!
map_0623#2		VICTORIA: Call it karma! You had that loss coming to you.
map_0623#3		ARC: Thanks for the backup.
map_0623#4		VICTORIA: It's nothing! I heard fighting from downstairs, and I wasn't about to just stand by.
map_0623#5		ARC: \PN, any sign of them?
map_0623#6		\PN flashed the Radio Transceiver.
map_0623#7		ARC: Lemme see that.
map_0623#8		ARC: ...
map_0623#9		No doubt about it. This is the radio I lent Ame.
map_0623#10		Tch, so I couldn't even send a message to them.
map_0623#11		Did they really have to drop this?
map_0623#12		VICTORIA: You don't think they were overpowered, do you?
map_0623#13		ARC: Between the Champion and a Gym Leader, that's hard to imagine, but...
map_0623#14		No, they have to be fine.
map_0623#15		We'll probably find them if we keep going.
map_0623#16		ARC: As for this room...
map_0623#17		ARC: I think I get it.
map_0623#18		ARC: Damn.
map_0623#19		VICTORIA: Are you okay?
map_0623#20		ARC: Yeah, it's nothing. Wouldn't recommend stepping on those though.
map_0623#21		ARC: Let's see.
map_0623#22		ARC: Yeah, it's like I thought.
map_0623#23		This terminal up here controls the patterns on the floor.
map_0623#24		Let's see it.
map_0623#25		ARC: Three patterns.
map_0623#26		From what I can tell here, they're on multiple floors.
map_0623#27		And the only way to steer them is from right here.
map_0623#28		What a mess.
map_0623#29		ARC: \PN, that radio still works, right?
map_0623#30		I'll stay back and man this thing.
map_0623#31		Press the A button to use that device to signal me whenever you want to rotate the floor's pattern.
map_0623#32		I'll be counting on you two. 
map_0623#33		VICTORIA: I get the feeling this puzzle might go sour if we try and do it at the same time.
map_0623#34		So, you go ahead and then I'll trace your footsteps and timing when you're done, all right?
map_0623#35		ARC: Hey, careful not to hurt yourself on those panels!
map_0623#36		I'll be fine, so you two go ahead. 
map_0624#0		Get away from me. You both reek of hypocrisy. 
map_0624#1		Whether it's the spirit or the psyche...
map_0624#2		Both can break in time.
map_0624#3		I would have thought twice about taking this job if I knew I'd be facing you again.
map_0624#4		There's not much point in a battle like that.
map_0624#5		I learned that much from the first fight I saw you in at the Orphanage.
map_0624#6		One of the superiors gave us a little bit of info on her. 
map_0624#7		Well, all of you.
map_0624#8		I guess some of them decided to put it to use.
map_0624#9		METEOR: It would be a shame if all this persistence went to waste now, wouldn't it?
map_0624#10		VICTORIA: The only thing that'll be wasted is Team Meteor!
map_0624#11		METEOR: Is that the attitude that you teach down at that tawdry school?
map_0624#12		VICTORIA: I'll be happy to give you a lesson right now!
map_0624#13	Howaya	So violence is your answer.
map_0624#14	Callie	Defiant as ever, aren't you?
map_0624#15		ARC: Can you two hear me on this thing?
map_0624#16		I heard fighting from down here. Are you all right?
map_0624#17		VICTORIA: Yeah, we're fine!
map_0624#18		Didn't I tell you? There's no way I'll lose to Team Meteor ever again!
map_0624#19		ARC: That's music to my ears.
map_0624#20		VICTORIA: There's another one of those floors up here. Can you handle it?
map_0624#21		ARC: It's not even a factor. You know what to do, \PN.
map_0624#22		VICTORIA: Just what purpose does this kind of thing serve anyway?
map_0624#23		I can't imagine it was put here just to slow us down.
map_0624#24		METEOR: How much longer do you intend to flounder around in affairs well beyond your ability?
map_0624#25		VICTORIA: You wanna see just how far this ability goes?
map_0624#26		METEOR: Ah, is someone getting riled up? What would Kiki think?
map_0624#27		VICTORIA: Don't you dare act like you know her! 
map_0624#28		As long as you side with Team Meteor, you're not even fit to speak her name!
map_0624#29	Danielle	You're already faltering.
map_0624#30	Ramsey	Is Kiki smiling right now?
map_0624#31		VICTORIA: Say her name one more time and see what happens.
map_0624#32		METEOR: Hmm.
map_0624#33		Is that what Kiki wants?
map_0624#34		METEOR: Well, even I can't say he didn't deserve that.
map_0624#35		VICTORIA: ...Let's go.
map_0624#36		No response.
map_0625#0		VICTORIA: I know I'm disappointing her right now.
map_0625#1		This isn't how she taught me...
map_0625#2		But at the same time, I can't just let these people get away with what they did.
map_0625#3		I will never, ever forgive them.
map_0625#4		VICTORIA: That's why--
map_0625#5		VICTORIA: Eh?
map_0625#6		The exit!
map_0625#7		VICTORIA: It's completely sealed?
map_0625#8		VICTORIA: Ah, move!
map_0625#9		VICTORIA: Incineroar!
map_0625#10		VICTORIA: Go on.
map_0625#11		We'll be fine.
map_0625#12		Hurry!
map_0626#0		The passage below seems to have completely sealed.
map_0626#1		Did you come here thinking you'd find something helpful?
map_0626#2	Roth	Of course, we've already relocated everything we need.
map_0626#3		Both of our projects are safe and sound. There's nothing you can do about that.
map_0626#4		ARC: \PN, are you there?
map_0626#5		Is everything okay? It sounded pretty loud up there just now.
map_0626#6		So...
map_0626#7		Victoria stayed behind.
map_0626#8		As long as she's with her Pokémon, I'm sure she'll be fine.
map_0626#9		There's still no sign of Adrienn or Ame?
map_0626#10		This hasn't gone as planned at all...
map_0626#11		But you're close to the top now. There might be something there.
map_0626#12		Let's get through this and save everyone.
map_0626#13		You really should have known better than to trust an anonymous tip.
map_0626#14	David	But it's too late. You're already trapped.
map_0626#15		Every step-- no, every breath you've taken has been scripted.
map_0628#0		VICTORIA: \PN?!
map_0628#1		VICTORIA: Eh, the door closed?
map_0628#2		I can't get out!
map_0628#3		\PN, what's going on here?
map_0628#4		LIN: Welcome.
map_0628#5		VICTORIA: Is that--?
map_0628#6		LIN: I understand that you and your petty shambles of acquaintances have come here to stop me. 
map_0628#7		How funny.
map_0628#8		You thought you were strong together.
map_0628#9		And here you are now.
map_0628#10		Let this be a lesson.
map_0628#11		Numbers do not help.
map_0628#12		Friends do not help.
map_0628#13		Spirit does not help.
map_0628#14		VICTORIA: What does someone like her know about spirit?
map_0628#15		LIN: In the end, you are still powerless. 
map_0628#16		You are still a victim.
map_0628#17		You always will be, won't you?
map_0628#18		VICTORIA: ...
map_0628#19		LIN: Now we will play a game.
map_0628#20		In order to reunite with your so-called friends, you must fight them. 
map_0628#21		The winner may proceed.
map_0628#22		The loser will suffer a penalty.
map_0628#23		There are no rules.
map_0628#24		Begin.
map_0628#25		VICTORIA: We have to fight each other to get out of here?
map_0628#27		Fine.
map_0628#28		I'm not backing down.
map_0628#29		I promised Kiki I'd finish the job.
map_0628#30		\PN.
map_0628#31		Give me everything you've got!
map_0628#32		We'll find out which of us is better suited to finish off Team Meteor!
map_0628#34		VICTORIA: ...Really?
map_0628#35		After all my hard work, training to be able to beat them--
map_0628#36		I said I'd never lose to Team Meteor again, but--
